time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-02-28T14:07:54.048Z,38.5578,-119.5069,7.6616,1.06,ml,13,177,0.076,0.1722,nn,nn00404508,2013-02-28T15:01:23.223Z,"28km SSW of Smith Valley, Nevada",earthquake
2013-02-28T14:05:50.400Z,50.942,157.339,41,6.9,Mw,425,68.4,2.23770337,0.78,us,usc000febi,2013-09-23T20:01:47.000Z,"84km SE of Ozernovskiy, Russia",earthquake
2013-02-28T14:05:43.900Z,38.9005,-122.9025,3.2,1,Md,,86.4,0.04491576,0.05,nc,nc71945745,2013-03-07T01:05:57.120Z,"10km SSW of Kelseyville, California",earthquake
2013-02-28T13:53:50.800Z,37.6278,-119.0372,5.6,1.4,Md,,75.6,0.00898315,0.07,nc,nc71945730,2013-02-28T21:51:27.374Z,"6km WSW of Mammoth Lakes, California",earthquake
2013-02-28T13:53:29.600Z,37.631,-119.039,5.2,1.5,Md,,118.8,0.01796631,0.03,nc,nc71945725,2013-02-28T21:38:50.836Z,"6km WSW of Mammoth Lakes, California",earthquake
2013-02-28T13:53:15.000Z,37.6268,-119.0333,5.3,1.3,Md,,64.8,0,0.08,nc,nc71945720,2013-02-28T19:58:03.894Z,"5km WSW of Mammoth Lakes, California",earthquake
2013-02-28T13:49:48.200Z,36.2132,-120.7742,9.2,1.2,Md,,147.6,0.01796631,0.08,nc,nc71945715,2013-03-06T01:25:58.489Z,"31km E of King City, California",earthquake
2013-02-28T13:45:29.000Z,62.6158,-150.0648,19.9,1,Ml,13,90,0.29285078,0.45,ak,ak10663307,2013-03-02T00:33:42.515Z,"32km N of Talkeetna, Alaska",earthquake
2013-02-28T13:41:48.000Z,65.1026,-143.5134,3,1.4,Ml,14,118.8,0.93514621,0.69,ak,ak10665617,2013-03-02T00:33:42.579Z,"68km SE of Circle Hot Springs Station, Alaska",earthquake
2013-02-28T13:18:46.200Z,46.9037,-120.0647,3.1,1.5,Md,,104.4,0.08084838,0.11,uw,uw60507946,2013-02-28T18:32:39.098Z,"22km NNW of Mattawa, Washington",earthquake
2013-02-28T13:15:52.000Z,64.7961,-149.0546,14.9,1.1,Ml,17,57.6,0.20391757,0.75,ak,ak10663298,2013-03-02T00:33:41.288Z,"24km N of North Nenana, Alaska",earthquake
2013-02-28T12:50:23.000Z,63.0462,-151.4798,7.5,1.2,Ml,14,79.2,0.35573285,0.86,ak,ak10665615,2013-03-02T00:33:42.542Z,"106km NW of Talkeetna, Alaska",earthquake
2013-02-28T12:19:20.000Z,53.1301,-166.6903,16.6,2.5,Ml,16,223.2,0.67193983,0.46,ak,ak10663297,2013-03-02T00:33:41.343Z,"83km S of Unalaska, Alaska",earthquake
2013-02-28T12:16:24.100Z,38.8112,-122.7898,3.6,1.7,Md,,28.8,0.00898315,0.05,nc,nc71945685,2013-03-07T00:37:48.806Z,"5km WSW of Cobb, California",earthquake
2013-02-28T11:28:08.400Z,32.9047,-116.2372,6.9,1.1,Ml,,100.8,0.1527136,0.22,ci,ci11250058,2013-03-01T00:37:20.142Z,"28km ENE of Pine Valley, California",earthquake
2013-02-28T11:25:17.000Z,19.1882,-155.4692,7.5,2.8,Ml,,93.6,0.03593261,0.19,hv,hv60473011,2013-03-01T02:50:19.913Z,"2km SSE of Pahala, Hawaii",earthquake
2013-02-28T11:25:11.000Z,61.359,-150.687,60.6,2,Ml,25,43.2,0.63510891,0.34,ak,ak10663284,2013-03-02T00:33:41.273Z,"43km WSW of Big Lake, Alaska",earthquake
2013-02-28T11:13:47.000Z,32.8998,-116.2378,6.1,2.1,Ml,,68.4,0.1527136,0.21,ci,ci11250042,2013-02-28T23:22:56.123Z,"28km ENE of Pine Valley, California",earthquake
2013-02-28T11:06:03.000Z,38.059,57.587,9.9,4.6,Mb,34,111.6,0.43927617,1.81,us,usc000feaf,2013-06-10T21:21:48.087Z,"44km SSE of Baherden, Turkmenistan",earthquake
2013-02-28T10:49:44.000Z,62.79,-149.2375,11,1,Ml,16,50.4,0.26051143,0.48,ak,ak10665612,2013-03-02T00:33:42.530Z,"68km NE of Talkeetna, Alaska",earthquake
2013-02-28T10:48:15.000Z,63.3234,-145.2495,2.6,1.6,Ml,26,57.6,0.25332491,0.52,ak,ak10663278,2013-03-02T00:33:41.260Z,"61km S of Deltana, Alaska",earthquake
2013-02-28T10:44:23.882Z,40.3695,-119.805,14.2915,1.31,ml,7,262,0.207,0.1233,nn,nn00404484,2013-02-28T13:57:16.579Z,"43km WSW of Gerlach-Empire, Nevada",earthquake
2013-02-28T10:36:53.000Z,60.6751,-150.3089,46.8,1.7,Ml,21,75.6,0.16888327,0.51,ak,ak10663273,2013-03-02T00:32:46.600Z,"29km ENE of Sterling, Alaska",earthquake
